search_term,title,abstract,pmid
"""mutualism"" AND ""gene""",The Ecology and Evolution of Amoeba-Bacterium Interactions.,"Amoebae are protists that have complicated relationships with bacteria, covering the whole spectrum of symbiosis. Amoeba-bacterium interactions contribute to the study of predation, symbiosis, pathogenesis, and human health. Given the complexity of their relationships, it is necessary to understand the ecology and evolution of their interactions. In this paper, we provide an updated review of the current understanding of amoeba-bacterium interactions. We start by discussing the diversity of amoebae and their bacterial partners. We also define three types of ecological interactions between amoebae and bacteria and discuss their different outcomes. Finally, we focus on the implications of amoeba-bacterium interactions on human health, horizontal gene transfer, drinking water safety, and the evolution of symbiosis. In conclusion, amoeba-bacterium interactions are excellent model systems to investigate a wide range of scientific questions. Future studies should utilize advanced techniques to address research gaps, such as detecting hidden diversity, lack of amoeba genomes, and the impacts of amoeba predation on the microbiome.",33158887
"""mutualism"" AND ""gene""",Cycloheximide-Producing <i>Streptomyces</i> Associated With <i>Xyleborinus saxesenii</i> and <i>Xyleborus affinis</i> Fungus-Farming Ambrosia Beetles.,"Symbiotic microbes help a myriad of insects acquire nutrients. Recent work suggests that insects also frequently associate with actinobacterial symbionts that produce molecules to help defend against parasites and predators. Here we explore a potential association between Actinobacteria and two species of fungus-farming ambrosia beetles, <i>Xyleborinus saxesenii</i> and <i>Xyleborus affinis</i>. We isolated and identified actinobacterial and fungal symbionts from laboratory reared nests, and characterized small molecules produced by the putative actinobacterial symbionts. One 16S rRNA phylotype of <i>Streptomyces</i> (XylebKG-1) was abundantly and consistently isolated from the galleries and adults of <i>X. saxesenii</i> and <i>X. affinis</i> nests. In addition to <i>Raffaelea sulphurea</i>, the symbiont that <i>X. saxesenii</i> cultivates, we also repeatedly isolated a strain of <i>Nectria</i> sp. that is an antagonist of this mutualism. Inhibition bioassays between <i>Streptomyces griseus</i> XylebKG-1 and the fungal symbionts from <i>X. saxesenii</i> revealed strong inhibitory activity of the actinobacterium toward the fungal antagonist <i>Nectria</i> sp. but not the fungal mutualist <i>R. sulphurea.</i> Bioassay guided HPLC fractionation of <i>S. griseus</i> XylebKG-1 culture extracts, followed by NMR and mass spectrometry, identified cycloheximide as the compound responsible for the observed growth inhibition. A biosynthetic gene cluster putatively encoding cycloheximide was also identified in <i>S. griseus</i> XylebKG-1. The consistent isolation of a single 16S phylotype of <i>Streptomyces</i> from two species of ambrosia beetles, and our finding that a representative isolate of this phylotype produces cycloheximide, which inhibits a parasite of the system but not the cultivated fungus, suggests that these actinobacteria may play defensive roles within these systems.",33101237
"""mutualism"" AND ""gene""",A need to consider the evolutionary genetics of host-symbiont mutualisms.,"Despite the ubiquity and importance of mutualistic interactions, we know little about the evolutionary genetics underlying their long-term persistence. As in antagonistic interactions, mutualistic symbioses are characterized by substantial levels of phenotypic and genetic diversity. In contrast to antagonistic interactions, however, we, by and large, do not understand how this variation arises, how it is maintained, nor its implications for future evolutionary change. Currently, we rely on phenotypic models to address the persistence of mutualistic symbioses, but the success of an interaction almost certainly depends heavily on genetic interactions. In this review, we argue that evolutionary genetic models could provide a framework for understanding the causes and consequences of diversity and why selection may favour processes that maintain variation in mutualistic interactions.",33047414
"""mutualism"" AND ""gene""",Genomes of the Banyan Tree and Pollinator Wasp Provide Insights into Fig-Wasp Coevolution.,"Banyan trees are distinguished by their extraordinary aerial roots. The Ficus genus includes species that have evolved a species-specific mutualism system with wasp pollinators. We sequenced genomes of the Chinese banyan tree, F.microcarpa, and a species lacking aerial roots, F.hispida, and one wasp genome coevolving with F.microcarpa, Eupristina verticillata. Comparative analysis of the two Ficus genomes revealed dynamic karyotype variation associated with adaptive evolution. Copy number expansion of auxin-related genes from duplications and elevated auxin production are associated with aerial root development in F.microcarpa. A male-specific AGAMOUS paralog, FhAG2, was identified as a candidate gene for sex determination in F.hispida. Population genomic analyses of Ficus species revealed genomic signatures of morphological and physiological coadaptation with their pollinators involving terpenoid- and benzenoid-derived compounds. These three genomes offer insights into and genomic resources for investigating the geneses of aerial roots, monoecy and dioecy, and codiversification in a symbiotic system.",33035453
"""mutualism"" AND ""gene""",Massive rhizobial genomic variation associated with partner quality in Lotus-Mesorhizobium symbiosis.,"Variation in partner quality is commonly observed in diverse cooperative relationships, despite the theoretical prediction that selection favoring high-quality partners should eliminate such variation. Here, we investigated how genetic variation in partner quality could be maintained in the nitrogen-fixing mutualism between Lotus japonicus and Mesorhizobium bacteria. We reconstructed de novo assembled full-genome sequences from nine rhizobial symbionts, finding massive variation in the core genome and the similar symbiotic islands, indicating recent horizontal gene transfer (HGT) of the symbiosis islands into diverse Mesorhizobium lineages. A cross-inoculation experiment using 9 sequenced rhizobial symbionts and 15L. japonicus accessions revealed extensive quality variation represented by plant growth phenotypes, including genotype-by-genotype interactions. Variation in quality was not associated with the presence/absence variation in known symbiosis-related genes in the symbiosis island; rather, it showed significant correlation with the core genome variation. Given the recurrent HGT of the symbiosis islands into diverse Mesorhizobium strains, local Mesorhizobium communities could serve as a major source of variation for core genomes, which might prevent variation in partner quality from fixing, even in the presence of selection favoring high-quality partners. These findings highlight the novel role of HGT of symbiosis islands in maintaining partner quality variation in the legume-rhizobia symbiosis.",33016310
"""mutualism"" AND ""gene""",Soil origin and plant genotype structure distinct microbiome compartments in the model legume Medicago truncatula.,"Understanding the genetic and environmental factors that structure plant microbiomes is necessary for leveraging these interactions to address critical needs in agriculture, conservation, and sustainability. Legumes, which form root nodule symbioses with nitrogen-fixing rhizobia, have served as model plants for understanding the genetics and evolution of beneficial plant-microbe interactions for decades, and thus have added value as models of plant-microbiome interactions. Here we use a common garden experiment with 16S rRNA gene amplicon and shotgun metagenomic sequencing to study the drivers of microbiome diversity and composition in three genotypes of the model legume Medicago truncatula grown in two native soil communities. Bacterial diversity decreased between external (rhizosphere) and internal plant compartments (root endosphere, nodule endosphere, and leaf endosphere). Community composition was shaped by strong compartment  soil origin and compartment  plant genotype interactions, driven by significant soil origin effects in the rhizosphere and significant plant genotype effects in the root endosphere. Nevertheless, all compartments were dominated by Ensifer, the genus of rhizobia that forms root nodule symbiosis with M. truncatula, and additional shotgun metagenomic sequencing suggests that the nodulating Ensifer were not genetically distinguishable from those elsewhere in the plant. We also identify a handful of OTUs that are common in nodule tissues, which are likely colonized from the root endosphere. Our results demonstrate strong host filtering effects, with rhizospheres driven by soil origin and internal plant compartments driven by host genetics, and identify several key nodule-inhabiting taxa that coexist with rhizobia in the native range. Our results set the stage for future functional genetic experiments aimed at expanding our pairwise understanding of legume-rhizobium symbiosis toward a more mechanistic understanding of plant microbiomes. Video Abstract.",32988416
"""mutualism"" AND ""gene""",Host-Endosymbiont Genome Integration in a Deep-Sea Chemosymbiotic Clam.,"Endosymbiosis with chemosynthetic bacteria has enabled many deep-sea invertebrates to thrive at hydrothermal vents and cold seeps, but most previous studies on this mutualism have focused on the bacteria only. Vesicomyid clams dominate global deep-sea chemosynthesis-based ecosystems. They differ from most deep-sea symbiotic animals in passing their symbionts from parent to offspring, enabling intricate coevolution between the host and the symbiont. Here, we sequenced the genomes of the clam Archivesica marissinica (Bivalvia: Vesicomyidae) and its bacterial symbiont to understand the genomic/metabolic integration behind this symbiosis. At 1.52Gb, the clam genome encodes 28 genes horizontally transferred from bacteria, a large number of pseudogenes and transposable elements whose massive expansion corresponded to the timing of the rise and subsequent divergence of symbiont-bearing vesicomyids. The genome exhibits gene family expansion in cellular processes that likely facilitate chemoautotrophy, including gas delivery to support energy and carbon production, metabolite exchange with the symbiont, and regulation of the bacteriocyte population. Contraction in cellulase genes is likely adaptive to the shift from phytoplankton-derived to bacteria-based food. It also shows contraction in bacterial recognition gene families, indicative of suppressed immune response to the endosymbiont. The gammaproteobacterium endosymbiont has a reduced genome of 1.03Mb but retains complete pathways for sulfur oxidation, carbon fixation, and biosynthesis of 20 common amino acids, indicating the host's high dependence on the symbiont for nutrition. Overall, the host-symbiont genomes show not only tight metabolic complementarity but also distinct signatures of coevolution allowing the vesicomyids to thrive in chemosynthesis-based ecosystems.",32956455
"""mutualism"" AND ""gene""","De Novo Gene Birth, Horizontal Gene Transfer, and Gene Duplication as Sources of New Gene Families Associated with the Origin of Symbiosis in Amanita.","By introducing novel capacities and functions, new genes and gene families may play a crucial role in ecological transitions. Mechanisms generating new gene families include de novo gene birth, horizontal gene transfer, and neofunctionalization following a duplication event. The ectomycorrhizal (ECM) symbiosis is a ubiquitous mutualism and the association has evolved repeatedly and independently many times among the fungi, but the evolutionary dynamics enabling its emergence remain elusive. We developed a phylogenetic workflow to first understand if gene families unique to ECM Amanita fungi and absent from closely related asymbiotic species are functionally relevant to the symbiosis, and then to systematically infer their origins. We identified 109 gene families unique to ECM Amanita species. Genes belonging to unique gene families are under strong purifying selection and are upregulated during symbiosis, compared with genes of conserved or orphan gene families. The origins of seven of the unique gene families are strongly supported as either de novo gene birth (two gene families), horizontal gene transfer (four), or gene duplication (one). An additional 34 families appear new because of their selective retention within symbiotic species. Among the 109 unique gene families, the most upregulated gene in symbiotic cultures encodes a 1-aminocyclopropane-1-carboxylate deaminase, an enzyme capable of downregulating the synthesis of the plant hormone ethylene, a common negative regulator of plant-microbial mutualisms.",32926145
"""mutualism"" AND ""gene""",Rediscovering a Forgotten System of Symbiosis: Historical Perspective and Future Potential.,"While the majority of symbiosis research is focused on bacteria, microbial eukaryotes play important roles in the microbiota and as pathogens, especially the incredibly diverse Fungi kingdom. The recent emergence of widespread pathogens in wildlife (bats, amphibians, snakes) and multidrug-resistant opportunists in human populations (<i>Candida auris</i>) has highlighted the importance of better understanding animal-fungus interactions. Regardless of their prominence there are few animal-fungus symbiosis models, but modern technological advances are allowing researchers to utilize novel organisms and systems. Here, I review a forgotten system of animal-fungus interactions: the beetle-fungus symbioses of Drugstore and Cigarette beetles with their symbiont <i>Symbiotaphrina</i>. As pioneering systems for the study of mutualistic symbioses, they were heavily researched between 1920 and 1970, but have received only sporadic attention in the past 40 years. Several features make them unique research organisms, including (1) the symbiont is both extracellular and intracellular during the life cycle of the host, and (2) both beetle and fungus can be cultured in isolation. Specifically, fungal symbionts intracellularly infect cells in the larval and adult beetle gut, while accessory glands in adult females harbor extracellular fungi. In this way, research on the microbiota, pathogenesis/infection, and mutualism can be performed. Furthermore, these beetles are economically important stored-product pests found worldwide. In addition to providing a historical perspective of the research undertaken and an overview of beetle biology and their symbiosis with <i>Symbiotaphrina</i>, I performed two analyses on publicly available genomic data. First, in a preliminary comparative genomic analysis of the fungal symbionts, I found striking differences in the pathways for the biosynthesis of two B vitamins important for the host beetle, thiamine and biotin. Second, I estimated the most recent common ancestor for Drugstore and Cigarette beetles at 8.8-13.5 Mya using sequence divergence (CO1 gene). Together, these analyses demonstrate that modern methods and data (genomics, transcriptomes, etc.) have great potential to transform these beetle-fungus systems into model systems again.",32916942
"""mutualism"" AND ""gene""",Molecular Dialogues between Early Divergent Fungi and Bacteria in an Antagonism versus a Mutualism.,"Fungal-bacterial symbioses range from antagonisms to mutualisms and remain one of the least understood interdomain interactions despite their ubiquity as well as ecological and medical importance. To build a predictive conceptual framework for understanding interactions between fungi and bacteria in different types of symbioses, we surveyed fungal and bacterial transcriptional responses in the mutualism between <i>Rhizopus microsporus</i> (<i>Rm</i>) (ATCC 52813, host) and its <i>Mycetohabitans</i> (formerly <i>Burkholderia</i>) endobacteria versus the antagonism between a nonhost <i>Rm</i> (ATCC 11559) and <i>Mycetohabitans</i> isolated from the host, at two time points, before and after partner physical contact. We found that bacteria and fungi sensed each other before contact and altered gene expression patterns accordingly. <i>Mycetohabitans</i> did not discriminate between the host and nonhost and engaged a common set of genes encoding known as well as novel symbiosis factors. In contrast, responses of the host versus nonhost to endobacteria were dramatically different, converging on the altered expression of genes involved in cell wall biosynthesis and reactive oxygen species (ROS) metabolism. On the basis of the observed patterns, we formulated a set of hypotheses describing fungal-bacterial interactions and tested some of them. By conducting ROS measurements, we confirmed that nonhost fungi increased production of ROS in response to endobacteria, whereas host fungi quenched their ROS output, suggesting that ROS metabolism contributes to the nonhost resistance to bacterial infection and the host ability to form a mutualism. Overall, our study offers a testable framework of predictions describing interactions of early divergent Mucoromycotina fungi with bacteria.<b>IMPORTANCE</b> Animals and plants interact with microbes by engaging specific surveillance systems, regulatory networks, and response modules that allow for accommodation of mutualists and defense against antagonists. Antimicrobial defense responses are mediated in both animals and plants by innate immunity systems that owe their functional similarities to convergent evolution. Like animals and plants, fungi interact with bacteria. However, the principles governing these relations are only now being discovered. In a study system of host and nonhost fungi interacting with a bacterium isolated from the host, we found that bacteria used a common gene repertoire to engage both partners. In contrast, fungal responses to bacteria differed dramatically between the host and nonhost. These findings suggest that as in animals and plants, the genetic makeup of the fungus determines whether bacterial partners are perceived as mutualists or antagonists and what specific regulatory networks and response modules are initiated during each encounter.",32900811
"""mutualism"" AND ""gene""",Origin and elaboration of a major evolutionary transition in individuality.,"Obligate endosymbiosis, in which distantly related species integrate to form a single replicating individual, represents a major evolutionary transition in individuality<sup>1-3</sup>. Although such transitions are thought to increase biological complexity<sup>1,2,4-6</sup>, the evolutionary and developmental steps that lead to integration remain poorly understood. Here we show that obligate endosymbiosis between the bacteria Blochmannia and the hyperdiverse ant tribe Camponotini<sup>7-11</sup> originated and also elaborated through radical alterations in embryonic development, as compared to other insects. The Hox genes AbdominalA (abdA) and Ultrabithorax (Ubx)-which, in arthropods, normally function to differentiate abdominal and thoracic segments after they form-were rewired to also regulate germline genes early in development. Consequently, the mRNAs and proteins of these Hox genes are expressed maternally and colocalize at a subcellular level with those of germline genes in the germplasm and three novel locations in the freshly laid egg. Blochmannia bacteria then selectively regulate these mRNAs and proteins to make each of these four locations functionally distinct, creating a system of coordinates in the embryo in which each location performs a different function to integrate Blochmannia into the Camponotini. Finally, we show that the capacity to localize mRNAs and proteins to new locations in the embryo evolved before obligate endosymbiosis and was subsequently co-opted by Blochmannia and Camponotini. This pre-existing molecular capacity converged with a pre-existing ecological mutualism<sup>12,13</sup> to facilitate both the horizontal transfer<sup>10</sup> and developmental integration of Blochmannia into Camponotini. Therefore, the convergence of pre-existing molecular capacities and ecological interactions-as well as the rewiring of highly conserved gene networks-may be a general feature that facilitates the origin and elaboration of major transitions in individuality.",32879485
"""mutualism"" AND ""gene""",Glycan cross-feeding supports mutualism between Fusobacterium and the vaginal microbiota.,"Women with bacterial vaginosis (BV), an imbalance of the vaginal microbiome, are more likely to be colonized by potential pathogens such as Fusobacterium nucleatum, a bacterium linked with intrauterine infection and preterm birth. However, the conditions and mechanisms supporting pathogen colonization during vaginal dysbiosis remain obscure. We demonstrate that sialidase activity, a diagnostic feature of BV, promoted F. nucleatum foraging and growth on mammalian sialoglycans, a nutrient resource that was otherwise inaccessible because of the lack of endogenous F. nucleatum sialidase. In mice with sialidase-producing vaginal microbiotas, mutant F. nucleatum unable to consume sialic acids was impaired in vaginal colonization. These experiments in mice also led to the discovery that F. nucleatum may also ""give back"" to the community by reinforcing sialidase activity, a biochemical feature of human dysbiosis. Using human vaginal bacterial communities, we show that F. nucleatum supported robust outgrowth of Gardnerella vaginalis, a major sialidase producer and one of the most abundant organisms in BV. These results illustrate that mutually beneficial relationships between vaginal bacteria support pathogen colonization and may help maintain features of dysbiosis. These findings challenge the simplistic dogma that the mere absence of ""healthy"" lactobacilli is the sole mechanism that creates a permissive environment for pathogens during vaginal dysbiosis. Given the ubiquity of F. nucleatum in the human mouth, these studies also suggest a possible mechanism underlying links between vaginal dysbiosis and oral sex.",32841232
"""mutualism"" AND ""gene""",Molecular causes of an evolutionary shift along the parasitism-mutualism continuum in a bacterial symbiont.,"Symbiosis with microbes is a ubiquitous phenomenon with a massive impact on all living organisms, shaping the world around us today. Theoretical and experimental studies show that vertical transmission of symbionts leads to the evolution of mutualistic traits, whereas horizontal transmission facilitates the emergence of parasitic features. However, these studies focused on phenotypic data, and we know little about underlying molecular changes at the genomic level. Here, we combined an experimental evolution approach with infection assays, genome resequencing, and global gene expression analysis to study the effect of transmission mode on an obligate intracellular bacterial symbiont. We show that a dramatic shift in the frequency of genetic variants, coupled with major changes in gene expression, allow the symbiont to alter its position in the parasitism-mutualism continuum depending on the mode of between-host transmission. We found that increased parasitism in horizontally transmitted chlamydiae residing in amoebae was a result of processes occurring at the infectious stage of the symbiont's developmental cycle. Specifically, genes involved in energy production required for extracellular survival and the type III secretion system-the symbiont's primary virulence mechanism-were significantly up-regulated. Our results identify the genomic and transcriptional dynamics sufficient to favor parasitic or mutualistic strategies.",32817434
"""mutualism"" AND ""gene""",Hybridization Between Yuccas From Baja California: Genomic and Environmental Patterns.,"Hybridization can occur when two geographically isolated species are reproductively compatible and have come into sympatry due to range shifts. Yucca and yucca moths exhibit obligate pollination mutualism; yucca moths are responsible for the gene flow mediated by pollen among yucca populations. In the Baja California Peninsula, there are two yucca sister species, <i>Y. capensis</i> and <i>Y. valida</i>, that have coevolved with the same pollinator, <i>Tegeticula baja</i>. Both yucca species are endemic to the peninsula, and their current distributions are allopatric. Based on their morphological characteristics, it has been suggested that some plants growing in the southern part of the Magdalena flatland, a spatially disjunct part of <i>Yucca valida</i>'s range, have hybrid origins. We conducted genomic and climatic analyses of the two yucca species as well as the putative hybrid populations. We genotyped 3,423 single nucleotide polymorphisms in 120 individuals sampled from 35 localities. We applied Bayesian tests and geographic cline analyses to the genomic data. Using climatic information from the occurrence sites, we projected species distribution models in different periods to assess changes in the distributional range, and we performed a statistical test to define the niche divergence between the paternal species and the putative hybrid populations. Structure analysis revealed mixed ancestry in the genome of hybrid populations, and the Bayesian models supported a scenario of post-divergence gene flow between the yucca species. Our species distribution models reveal that the geographical ranges of the parental species overlapped mainly during the Last Glacial Maximum, which could facilitate genetic admixture between those species. Finally, we found that most of the assessed environmental axes between the parents and hybrid populations are divergent, indicating that the climatic niche of the hybrid populations is shifting from that of the populations' progenitors. Our results show that the populations in the southern part of the Magdalena flatland are the result of combination of the genetic components of two species. Hybrid individuals with this novel genomic combination arose in a different habitat than their parental species, and they exhibit ecological divergence, which contributes to reproductive isolation through spatial and temporal barriers.",32733491
"""mutualism"" AND ""gene""",Plant miRNA Cross-Kingdom Transfer Targeting Parasitic and Mutualistic Organisms as a Tool to Advance Modern Agriculture.,"MicroRNAs (miRNAs), defined as small non-coding RNA molecules, are fine regulators of gene expression. In plants, miRNAs are well-known for regulating processes spanning from cell development to biotic and abiotic stress responses. Recently, miRNAs have been investigated for their potential transfer to distantly related organisms where they may exert regulatory functions in a cross-kingdom fashion. Cross-kingdom miRNA transfer has been observed in host-pathogen relations as well as symbiotic or mutualistic relations. All these can have important implications as plant miRNAs can be exploited to inhibit pathogen development or aid mutualistic relations. Similarly, miRNAs from eukaryotic organisms can be transferred to plants, thus suppressing host immunity. This two-way lane could have a significant impact on understanding inter-species relations and, more importantly, could leverage miRNA-based technologies for agricultural practices. Additionally, artificial miRNAs (amiRNAs) produced by engineered plants can be transferred to plant-feeding organisms in order to specifically regulate their cross-kingdom target genes. This minireview provides a brief overview of cross-kingdom plant miRNA transfer, focusing on parasitic and mutualistic relations that can have an impact on agricultural practices and discusses some opportunities related to miRNA-based technologies. Although promising, miRNA cross-kingdom transfer remains a debated argument. Several mechanistic aspects, such as the availability, transfer, and uptake of miRNAs, as well as their potential to alter gene expression in a cross-kingdom manner, remain to be addressed.",32655608
"""mutualism"" AND ""gene""",Symbiotic bacterial communities in rainforest fungus-farming ants: evidence for species and colony specificity.,"Animals may host diverse bacterial communities that can markedly affect their behavioral physiology, ecology, and vulnerability to disease. Fungus-farming ants represent a classical example of mutualism that depends on symbiotic microorganisms. Unraveling the bacterial communities associated with fungus-farming ants is essential to understand the role of these microorganisms in the ant-fungus symbiosis. The bacterial community structure of five species of fungus-farmers (non-leaf-cutters; genera Mycocepurus, Mycetarotes, Mycetophylax, and Sericomyrmex) from three different environments in the Brazilian Atlantic rainforest (lowland forest, restinga forest, and sand dunes) was characterized with amplicon-based Illumina sequencing of 16S ribosomal RNA gene. Possible differences in bacterial communities between ants internal to the nest (on the fungus garden) and external foragers were also investigated. Our results on the richness and diversity of associated bacteria provide novel evidence that these communities are host- and colony-specific in fungus-farming ants. Indeed, the bacterial communities associated with external foragers differ among the five species, and among colonies of the same species. Furthermore, bacterial communities from internal ants vs. foragers do not differ or differ only slightly within each ant species. This study highlights the importance of describing ant-associated bacterial communities to better understand this host-bacterial interaction in the social environment of insect colonies and provides the foundation for future studies on the ecological and evolutionary processes that drive the success of fungus-farming ants.",32576863
"""mutualism"" AND ""gene""",A tissue level atlas of the healthy human virome.,"Human-resident microbes can influence both health and disease. Investigating the microbiome using next-generation sequencing technology has revealed examples of mutualism and conflict between microbes and humans. Comparing to bacteria, the viral component of the microbiome (i.e., the ""virome"") is understudied. Somatic tissues of healthy individuals are usually inaccessible for the virome sampling; therefore, there is limited understanding of the presence and distribution of viruses in tissues in healthy individuals and how virus infection associates with human gene expression and perturbs immunological homeostasis. To characterize the human virome in a tissue-specific manner, here we performed meta-transcriptomic analysis using the RNA-sequencing dataset from the Genotype-Tissue Expression (GTEx) Project. We analyzed the 8991 RNA-sequencing data obtained from 51 somatic tissues from 547 individuals and successfully detected 39 viral species in at least one tissue. We then investigated associations between virus infection and human gene expression and human disease onset. We detected some expected relationships; for instance, hepatitis C virus infection in the liver was strongly associated with interferon-stimulated gene upregulation and pathological findings of chronic hepatitis. The presence of herpes simplex virus type 1 in one subject's brain strongly associated with immune gene expression. While torque teno virus was detected in a broad range of human tissues, it was not associated with interferon responses. Being notable in light of its association with lymphoproliferative disorders, Epstein-Barr virus infection in the spleen and blood was associated with an increase in plasma cells in healthy subjects. Human herpesvirus 7 was often detected in the stomach; intriguingly, it associated with the proportion of human leukocytes in the stomach as well as digestive gene expression. Moreover, virus infections in the local tissues associated with systemic immune responses in circulating blood. To our knowledge, this study is the first comprehensive investigation of the human virome in a variety of tissues in healthy individuals through meta-transcriptomic analysis. Further investigation of the associations described here, and application of this analytical pipeline to additional datasets, will be useful to reveal the impact of viral infections on human health.",32493363
"""mutualism"" AND ""gene""","Genome Sequencing and Analysis of the Fungal Symbiont of Sirex noctilio, Amylostereum areolatum: Revealing the Biology of Fungus-Insect Mutualism.","<i>Amylostereum areolatum</i> is the symbiotic fungus of the Eurasian woodwasp, <i>Sirex noctilio</i>, a globally invasive species. The mutualistic symbiont is associated with the woodwasp, assisting the damage process and providing nutrition for its insect partners. Colonization and growth of <i>A. areolatum</i> have essential impacts on the development and spread of <i>S. noctilio</i>, though the mechanism of interaction between the two has been poorly described. In this study, the first genome of this symbiotic fungus was sequenced, assembled, and annotated. The assembled <i>A. areolatum</i> genome was 57.5Mb (54.51% GC content) with 15,611 protein-coding genes. We identified 580 <u>c</u>arbohydrate-<u>a</u>ctive en<u>zymes</u> (CAZymes), 661 genes associated with pathogen-host interactions, and 318 genes encoding transport proteins in total. The genome annotation revealed 10 terpene/phytoene synthases responsible for terpenoid biosynthesis, which could be classified into three clades. Terpene synthase gene clusters in clade II were conserved well across Russulales. In this cluster, genes encoding <u>m</u>evalonate <u>k</u>inase (MK), EGR12 (COG1557), and nonplant terpene cyclases (cd00687) were the known biosynthesis and regulatory genes. Genome sequence analysis of this fungus would prove the possibility of <i>A. areolatum</i> volatiles affecting the host selection of <i>S. noctilio</i> on a molecular basis. We further clarified that <i>A. areolatum</i> was a strict obligate symbiotic fungus. The wasps might protect the fungus before it was introduced into a suitable host substrate by oviposition, while the fungus would provide <i>S. noctilio</i> with a suitable environment and nutrients for the larval growth. These results would lay a foundation for our understanding of the mechanism of this entomogenous symbiosis.<b>IMPORTANCE</b><i>Sirex noctilio</i> (F.), together with <i>Amylostereum areolatum</i>, a wood-decaying symbiotic fungus, causes severe damage to <i>Pinus</i> species worldwide. In China, it causes extensive death of Mongolian pine (<i>Pinus sylvestris</i> var. <i>mongolica</i>). There is an obligate dependency mutualism between the woodwasp and its fungus. Studies have suggested that the fungal growth rate affected the size of the wasps: larger adults emerged from sites with a higher fungus growth rate. This genome is the first reported genome sequence of a woodwasp symbiotic fungus. Genome sequence analysis of this fungus would prove the possibility of <i>A. areolatum</i> volatiles affecting the host selection of <i>S. noctilio</i> on a molecular basis. We further clarified that <i>A. areolatum</i> was a strict obligate symbiotic fungus and that it would provide <i>S. noctilio</i> with a suitable environment and with nutrients for the larval growth. These results would lay a foundation for our understanding of the mechanism of this entomogenous symbiosis.",32404513
"""mutualism"" AND ""gene""",Covert Cross-Feeding Revealed by Genome-Wide Analysis of Fitness Determinants in a Synthetic Bacterial Mutualism.,"Microbial interactions abound in natural ecosystems and shape community structure and function. Substantial attention has been given to cataloging mechanisms by which microbes interact, but there is a limited understanding of the genetic landscapes that promote or hinder microbial interactions. We previously developed a mutualistic coculture pairing <i>Escherichia coli</i> and <i>Rhodopseudomonas palustris</i>, wherein <i>E. coli</i> provides carbon to <i>R. palustris</i> in the form of glucose fermentation products and <i>R. palustris</i> fixes N<sub>2</sub> gas and provides nitrogen to <i>E. coli</i> in the form of NH<sub>4</sub><sup>+</sup> The stable coexistence and reproducible trends exhibited by this coculture make it ideal for interrogating the genetic underpinnings of a cross-feeding mutualism. Here, we used random barcode transposon sequencing (RB-TnSeq) to conduct a genome-wide search for <i>E. coli</i> genes that influence fitness during cooperative growth with <i>R. palustris</i> RB-TnSeq revealed hundreds of genes that increased or decreased <i>E. coli</i> fitness in a mutualism-dependent manner. Some identified genes were involved in nitrogen sensing and assimilation, as expected given the coculture design. The other identified genes were involved in diverse cellular processes, including energy production and cell wall and membrane biogenesis. In addition, we discovered unexpected purine cross-feeding from <i>R. palustris</i> to <i>E. coli</i>, with coculture rescuing growth of an <i>E. coli</i> purine auxotroph. Our data provide insight into the genes and gene networks that can influence a cross-feeding mutualism and underscore that microbial interactions are not necessarily predictable <i>a priori</i><b>IMPORTANCE</b> Microbial communities impact life on Earth in profound ways, including driving global nutrient cycles and influencing human health and disease. These community functions depend on the interactions that resident microbes have with the environment and each other. Thus, identifying genes that influence these interactions will aid the management of natural communities and the use of microbial consortia as biotechnology. Here, we identified genes that influenced <i>Escherichia coli</i> fitness during cooperative growth with a mutualistic partner, <i>Rhodopseudomonas palustris</i> Although this mutualism centers on the bidirectional exchange of essential carbon and nitrogen, <i>E. coli</i> fitness was positively and negatively affected by genes involved in diverse cellular processes. Furthermore, we discovered an unexpected purine cross-feeding interaction. These results contribute knowledge on the genetic foundation of a microbial cross-feeding interaction and highlight that unanticipated interactions can occur even within engineered microbial communities.",32332139
"""mutualism"" AND ""gene""",Human-microorganism mutualism theory: Possible mechanisms for the delayed chronic wound healing process.,"Skin microbial flora was believed to can implicate skin health, and many recent reports point out a close linkage between the dysbiosis of the microbiome with the disease. Changes of microbiota, including diversity, species, and abundance, have been demonstrated in disease states, and it was believed the changes may cause infection and chronicity of the debilitating wounds. And it was been found a reverse of the dysbiosis after the effective treatment, but it failed to find a positive effect of antibiotic therapy on skin disease without significant clinical infection. The microbiomes were compared to the 'second gene reservoir', and indicated that their co-existing with the human being is a result of co-evolution. The current studies have shown that the microbial community on the skin surface should have an ideal optimal state, which can effectively regulate the immune tolerance and help to avoid the invasion of external pathogenic bacteria, then the body can be in a relatively healthy state. In this paper, we hypothesized that failing to maintain the harmonious relationship between microbes and human beings is the reason we suffering from most skin diseases, including chronic non-healing wounds. Thus, the dysbiosis of skin microbiota theory can help us better understand the mechanism of wound formation and problems encountered in wound treatment.",32298919
